Year,W,L,T,Bowl
2018,8,5,0,Pinstripe Bowl-W
2017,13,1,0,Orange Bowl-W
2016,11,3,0,Cotton Bowl-W
2015,10,3,0,Holiday Bowl-W
2014,11,3,0,Outback Bowl-W
2013,9,4,0,Capital One Bowl-L
2012,8,6,0,Rose Bowl-L
2011,11,3,0,Rose Bowl-L
2010,11,2,0,Rose Bowl-L
2009,10,3,0,Champs Sports Bowl-W
2008,7,6,0,Champs Sports Bowl-L
2007,9,4,0,Outback Bowl-L
2006,12,1,0,Capital One Bowl-W
2005,10,3,0,Capital One Bowl-W
2004,9,3,0,Outback Bowl-L
2003,7,6,0,Music City Bowl-L
2002,8,6,0,Alamo Bowl-W
2001,5,7,0,
2000,9,4,0,Sun Bowl-W
1999,10,2,0,Rose Bowl-W
1998,11,1,0,Rose Bowl-W
1997,8,5,0,Outback Bowl-L
1996,8,5,0,Copper Bowl-W
1995,4,5,2,
1994,7,4,1,Hall of Fame Bowl-W
1993,10,1,1,Rose Bowl-W
1992,5,6,0,
1991,5,6,0,
1990,1,10,0,
1989,2,9,0,
1988,1,10,0,
1987,3,8,0,
1986,3,9,0,
1985,5,6,0,
1984,7,4,1,Hall of Fame Classic-L
1983,7,4,0,
1982,7,5,0,Independence Bowl-W
1981,7,5,0,Garden State Bowl-L
1980,4,7,0,
1979,4,7,0,
1978,5,4,2,
1977,5,6,0,
1976,5,6,0,
1975,4,6,1,
1974,7,4,0,
1973,4,7,0,
1972,4,7,0,
1971,4,6,1,
1970,4,5,1,
1969,3,7,0,
1968,0,10,0,
1967,0,9,1,
1966,3,6,1,
1965,2,7,1,
1964,3,6,0,
1963,5,4,0,
1962,8,2,0,Rose Bowl-L
1961,6,3,0,
1960,4,5,0,
1959,7,3,0,Rose Bowl-L
1958,7,1,1,
1957,6,3,0,
1956,1,5,3,
1955,4,5,0,
1954,7,2,0,
1953,6,2,1,
1952,6,3,1,Rose Bowl-L
1951,7,1,1,
1950,6,3,0,
1949,5,3,1,
1948,2,7,0,
1947,5,3,1,
1946,4,5,0,
1945,3,4,2,
1944,3,6,0,
1943,1,9,0,
1942,8,1,1,
1941,3,5,0,
1940,4,4,0,
1939,1,6,1,
1938,5,3,0,
1937,4,3,1,
1936,2,6,0,
1935,1,7,0,
1934,4,4,0,
1933,2,5,1,
1932,6,1,1,
1931,5,4,1,
1930,6,2,1,
1929,4,5,0,
1928,7,1,1,
1927,4,4,0,
1926,5,2,1,
1925,6,1,1,
1924,2,3,3,
1923,3,3,1,
1922,4,2,1,
1921,5,1,1,
1920,6,1,0,
1919,5,2,0,
1918,3,3,0,
1917,4,2,1,
1916,4,2,1,
1915,4,3,0,
1914,4,2,1,
1913,3,3,1,
1912,7,0,0,
1911,5,1,1,
1910,1,2,2,
1909,3,1,1,
1908,5,1,0,
1907,3,1,1,
1906,5,0,0,
1905,8,2,0,
1904,5,3,0,
1903,6,3,1,
1902,6,3,0,
1901,9,0,0,
1900,8,1,0,
1899,9,2,0,
1898,9,1,0,
1897,9,1,0,
1896,7,1,1,