ID,arrangement,lat,min_year,max_year,class
1,1,67.22,-47,7515,type2
2,2,66.62,137,9955,type2
3,3,54.2,1788,11674,type1
4,4,54.2,-50,11704,type1
5,5,51.3675,-57,8162,type1
6,6,51.3675,7497,10723,type3
7,7,51.3675,8749,10258,type3
8,8,51.3675,137,6644,type2
9,9,47.49,-20,13923,type2
10,10,47.1167,-13,9931,type3
11,11,47.0833,7130,10374,type3
12,12,47.0833,7837,10077,type3
13,13,46.6167,2000,9314,type3
14,14,43.74583,0,8517,type1
15,15,43.74583,2244,6520,type2
16,16,43.6232,0,7520,type1
17,17,43.32,498,12153,type1
18,18,43.32,-61,7769,type1
19,19,43.04,304,9745,type2
20,20,42.0981,234,7992,type1
21,21,42.088,7,11122,type1
22,22,40.39,3003,7774,type3
23,23,39.53,8,4800,type3
24,24,39.53,5128,8889,type2
25,25,39.53,253,5513,type2
26,26,39.53,2661,6494,type2
27,27,39.53,900,4633,type2
28,28,39.53,4452,7265,type2
29,29,39.0056,3836,11446,type1
30,30,38.4,3257,11720,type1
31,31,37.976,-24,7848,type1
32,32,37.976,78,7184,type1
33,33,37.976,37,6945,type1
34,34,37.976,-13,6895,type2
35,35,37.89,-10,13358,type1
36,36,35.86,2537,11416,type1
37,37,35.85,24,9365,type1
38,38,33.95,1137,12288,type1
39,39,33.95,-51,11621,type1
40,40,33.95,-58,9662,type1
41,41,33.8167,0,0,type3
42,42,33.5667,-48,8614,type1
43,43,32.9975,2984,6651,type3
44,44,32.083,-15,12087,type1
45,45,31.667,70,12863,type1
46,46,31.667,2351,8476,type2
47,47,31.667,2089,11532,type2
48,48,31.45,4440,11700,type3
49,49,30.9167,4148,9045,type2
50,50,30.77,47,11574,type1
51,51,30.45,73,8807,type1
52,52,30.45,-52,9470,type1
53,53,29.69,19,6736,type2
54,54,29.6822,20,9270,type1
55,55,29.483,-56,6588,type1
56,56,29.0167,480,11490,type1
57,57,29.0167,970,11630,type1
58,58,29.0167,260,10500,type1
59,59,28.8894,4626,6603,type3
60,60,25.28,-16,15810,type1
61,61,25.28,-50,8880,type1
62,62,25.2622,3653,12395,type1
63,63,18.1833,1278,10870,type1
64,64,16.676944,4630,7159,type2
65,65,15.42769,343,12778,type1
66,66,4.2587,-44,13548,type1
67,67,4.03,0,11737,type1
68,68,4.03,0,11851,type1
69,69,4.03,0,11467,type2
70,70,-5.940556,0,4302,type1
71,71,-5.940556,3236,13394,type1
72,72,-8.533,-52,12650,type1
73,73,-8.533,20,"10,700",type2
74,74,-11.27,1137,7111,type1
75,75,-14.4227,6210,10200,type2
76,76,-14.4227,1290,5870,type2
77,77,-15.18,4000,8806,type2
78,78,-15.18,304,8806,type2
79,79,-15.54258,141,9027,type2
80,80,-17.3333,8367,11173,type3
81,81,-19.4,18,4618,type2
82,82,-22.1,5736,10562,type2
83,83,-24.02,-48,10110,type1
84,84,-24.02,-46,6406,type2
85,85,-27.22,-54,9117,type1
86,86,-33.3926,12,6408,type2
87,87,-41.58,5081,8888,type3
88,88,-42,0,0,type3